주소,위도,경도,견인횟수,nearest_park,park_위도,park_경도,distance,time
서울특별시 광진구 능동 276-1,37.5565314,127.080133,4,군자역 5번출구,37.55673953,127.080013,300,1
서울특별시 광진구 능동 276-2,37.5567097,127.0797015,4,군자역 5번출구,37.55673953,127.080013,24,0
서울특별시 광진구 능동 276-3,37.5565877,127.0795276,3,군자역 5번출구,37.55673953,127.080013,156,1
서울특별시 광진구 능동 276-4,37.5564635,127.0794563,3,군자역 5번출구,37.55673953,127.080013,156,1
서울특별시 광진구 능동 276-5,37.5566288,127.0801922,1,군자역 5번출구,37.55673953,127.080013,352,2
서울특별시 광진구 능동 279-10,37.5556349,127.0788765,5,국대떡볶이 군자,37.55548761,127.0786759,338,2
서울특별시 광진구 능동 279-2,37.5562243,127.0793201,28,군자역 5번출구,37.55673953,127.080013,157,1
서울특별시 광진구 능동 279-3,37.5560395,127.0792184,16,메가박스군자,37.55575194,127.0785684,527,3
서울특별시 광진구 능동 279-4,37.5558576,127.0791002,12,메가박스군자,37.55575194,127.0785684,708,5
서울특별시 광진구 능동 279-5,37.5555987,127.0789771,9,국대떡볶이 군자,37.55548761,127.0786759,98,0
서울특별시 광진구 능동 279-8,37.5554427,127.0788007,7,국대떡볶이 군자,37.55548761,127.0786759,12,0
서울특별시 광진구 능동 279-9,37.556075,127.0791175,9,메가박스군자,37.55575194,127.0785684,685,4
서울특별시 광진구 능동 280-1,37.5542596,127.0780253,20,국대떡볶이 군자,37.55548761,127.0786759,252,1
서울특별시 광진구 능동 281-5,37.5518242,127.077193,2,보난자커피 앞 ,37.55159971,127.0764383,88,1
서울특별시 광진구 능동 282-1,37.5551353,127.0786842,17,국대떡볶이 군자,37.55548761,127.0786759,396,2
서울특별시 광진구 능동 282-10,37.5548112,127.078518,2,국대떡볶이 군자,37.55548761,127.0786759,482,2
서울특별시 광진구 능동 282-2,37.5549293,127.0785824,4,국대떡볶이 군자,37.55548761,127.0786759,420,2
서울특별시 광진구 능동 282-3,37.5546983,127.0784638,1,국대떡볶이 군자,37.55548761,127.0786759,483,2
서울특별시 광진구 능동 282-5,37.5545488,127.0784637,1,국대떡볶이 군자,37.55548761,127.0786759,502,2
서울특별시 광진구 능동 282-6,37.5544693,127.0783326,10,국대떡볶이 군자,37.55548761,127.0786759,513,2
서울특별시 광진구 능동 283-15,37.5538514,127.0780439,5,천지빌딩 앞,37.55296858,127.0773579,203,0
서울특별시 광진구 능동 283-26,37.5535888,127.0778635,2,천지빌딩 앞,37.55296858,127.0773579,293,1
서울특별시 광진구 능동 283-4,37.5541968,127.0781934,2,국대떡볶이 군자,37.55548761,127.0786759,235,1
서울특별시 광진구 능동 283-6,37.5529648,127.0775577,2,천지빌딩 앞,37.55296858,127.0773579,17,0
서울특별시 광진구 능동 283-7,37.5540542,127.0781143,3,천지빌딩 앞,37.55296858,127.0773579,264,1
서울특별시 광진구 능동 315-14,37.5520617,127.0771333,5,보난자커피 앞 ,37.55159971,127.0764383,74,1
서울특별시 광진구 능동 315-18,37.5523627,127.0774716,2,천지빌딩 앞,37.55296858,127.0773579,113,0
서울특별시 광진구 능동 315-2,37.5527601,127.0775032,1,천지빌딩 앞,37.55296858,127.0773579,20,0
서울특별시 광진구 능동 315-3,37.552617,127.0774332,2,천지빌딩 앞,37.55296858,127.0773579,19,0
서울특별시 광진구 능동 315-9,37.5519353,127.0770971,2,보난자커피 앞 ,37.55159971,127.0764383,76,1
서울특별시 광진구 능동 316-1,37.5517683,127.0770711,2,보난자커피 앞 ,37.55159971,127.0764383,80,1
서울특별시 광진구 능동 339-2,37.5493448,127.0754819,14,겨울자전거_어린이대공원,37.54914942,127.0756215,642,5
서울특별시 광진구 능동 436-7,37.5514604,127.0766009,1,보난자커피 앞 ,37.55159971,127.0764383,59,1
서울특별시 광진구 능동 453-10,37.551502,127.0766378,1,보난자커피 앞 ,37.55159971,127.0764383,54,1
서울특별시 광진구 능동 463-1,37.5476115,127.0746156,13,어린이대공원역 5번출구,37.54784504,127.0744082,984,6
서울특별시 광진구 능동 465-10,37.5465522,127.0760591,1,어린이 대공원 부근 가츠시,37.546446,127.075817,367,3
서울특별시 광진구 아차산로 382,37.5366625,127.085267,1,위비_75 구의역 1번출구,37.53694579,127.084891,719,5
서울특별시 광진구 자양동 1-6,37.5400908,127.0697292,3,건대입구역 4번출구 앞 자전거 거치대,37.539966,127.071014,725,3
서울특별시 광진구 자양동 2-3,37.5385953,127.0691436,1,위비_193,37.53871723,127.0701029,352,1
서울특별시 광진구 자양동 2-7,37.5387483,127.0692988,2,위비_193,37.53871723,127.0701029,352,1
서울특별시 광진구 자양동 204-1,37.5367608,127.0832751,9,겨울자전거_대림부동산,37.53677041,127.0828096,36,0
서울특별시 광진구 자양동 205-2,37.5404132,127.0832724,1,신선설농탕 자양점,37.5402689,127.0829697,24,0
서울특별시 광진구 자양동 205-6,37.5385198,127.0832389,1,KCC웰츠타워,37.538329,127.083404,411,2
서울특별시 광진구 자양동 216-14,37.537084,127.086111,1,위비_75 구의역 1번출구,37.53694579,127.084891,107,1
서울특별시 광진구 자양동 216-26,37.5364387,127.0839767,2,기아 광진점,37.5358295,127.084207,425,3
서울특별시 광진구 자양동 216-3,37.5369018,127.0860374,1,위비_75 구의역 1번출구,37.53694579,127.084891,897,10
서울특별시 광진구 자양동 216-31,37.5367244,127.0849762,1,위비_75 구의역 1번출구,37.53694579,127.084891,991,10
서울특별시 광진구 자양동 216-8,37.5363864,127.084677,4,위비_75 구의역 1번출구,37.53694579,127.084891,655,4
서울특별시 광진구 자양동 216-9,37.5365959,127.0850189,4,위비_75 구의역 1번출구,37.53694579,127.084891,699,4
서울특별시 광진구 자양동 219-1,37.5361077,127.0834853,1,느티나무약국,37.5356457,127.0836106,82,0
서울특별시 광진구 자양동 219-16,37.5370392,127.0814014,2,겨울자전거_대림부동산,37.53723994,127.0809106,443,2
서울특별시 광진구 자양동 219-5,37.5364337,127.0826331,1,겨울자전거_대림부동산,37.53677041,127.0828096,479,4
서울특별시 광진구 자양동 222-18,37.5361823,127.0801133,1,겨울자전거_대림부동산,37.53723994,127.0809106,638,3
서울특별시 광진구 자양동 224-17,37.5379753,127.0777591,1,성수 테라팰리스 앞,37.538096,127.077624,15,0
서울특별시 광진구 자양동 227-325,37.538218,127.070329,1,위비_193,37.53871723,127.0701029,626,4
