역명,위도,경도,총승객수
정보도서관,37.55024867,127.1104622,252.76388888888889
워커힐팰리스,37.55001332,127.1096719,104.27777777777777
한강호텔입구,37.54845463,127.1094523,13.777777777777779
한강호텔입구,37.54827454,127.1093151,43.138888888888886
광진구민체육센터,37.54686717,127.1077985,293.19444444444446
광나루현대아파트,37.54669365,127.1077533,67.19444444444444
워커힐아파트,37.55000352,127.1075883,194.83333333333334
광나루현대아파트,37.54672174,127.107587,94.83333333333333
워커힐아파트입구,37.54792033,127.1066257,32.916666666666664
워커힐아파트입구,37.54809046,127.1064755,54.583333333333336
광나루우편취급국,37.547401,127.106316,203.61111111111111
광진청소년수련관,37.54595149,127.1053745,130.30555555555554
신동아아파트,37.54635,127.10533,139.33333333333334
장신대앞,37.54753936,127.1052274,88.0
장신대앞,37.54763045,127.1051324,60.916666666666664
광나루역,37.545156,127.103764,597.2407407407408
광나루역.극동아파트,37.544242,127.10332,439.0833333333333
광나루역.극동아파트,37.543536,127.102963,198.56944444444446
광나루역,37.545741,127.102649,623.5370370370371
광장중학교앞,37.54694794,127.1024889,167.91666666666666
광장중학교앞,37.54679033,127.1024015,176.83333333333334
광남고.삼성아파트,37.54234308,127.1017493,143.22222222222223
광남고.삼성아파트,37.54194779,127.1014183,217.80555555555554
현대3.5차아파트,37.54077907,127.1003519,153.13888888888889
현대3차아파트,37.54046519,127.0996487,221.88888888888889
광장동현대아파트앞,37.542071,127.098974,478.3888888888889
한전삼거리,37.54524056,127.0980186,39.416666666666664
한전삼거리,37.54544335,127.0979657,53.30555555555556
광장동현대아파트앞,37.54191,127.097768,575.5277777777778
프라임아파트앞,37.53783797,127.0970324,66.0
청구아파트앞,37.5423896,127.0967938,64.41666666666667
현대2단지,37.53785446,127.0965438,139.44444444444446
청구아파트앞,37.54326056,127.0961816,54.77777777777778
테크노마트.광진문화원,37.53702053,127.0961012,493.27777777777777
긴고랑종점,37.56219447,127.0960429,44.458333333333336
긴고랑주차장,37.56096064,127.0956309,28.36111111111111
중앙상회앞,37.56016,127.094972,98.41666666666667
광장자이아파트,37.542253,127.094923,39.05555555555556
광장자이아파트,37.54216725,127.0949109,55.916666666666664
강변역.테크노마트앞,37.53639347,127.094859,635.2222222222222
중앙상회앞,37.560159,127.0947975,139.86111111111111
강변역.테크노마트앞,37.536342,127.094792,1658.861111111111
중곡4동경로당입구앞,37.55919254,127.0942812,41.77777777777778
현대아파트앞,37.539643,127.09417,178.80555555555554
영화사입구,37.55408344,127.0941503,290.8888888888889
영화사입구,37.55422855,127.0941176,257.19444444444446
중곡4동경로당입구앞,37.55913062,127.0939631,30.805555555555557
강변역A,37.535988,127.093833,1859.0277777777778
테크노마트앞.강변역,37.536907,127.093802,623.7361111111111
테크노마트앞.강변역,37.536867,127.093756,530.2222222222222
올림픽대교북단사거리,37.54338872,127.0936876,256.4074074074074
성안약국,37.5531415,127.0933919,210.41666666666666
성안약국,37.55321006,127.0932969,150.66666666666666
올림픽대교북단사거리,37.5433927,127.09321,218.67592592592592
새밭교회,37.548983,127.093185,251.2037037037037
기원정사입구,37.55488262,127.0931372,426.77777777777777
기원정사입구,37.55527915,127.0930431,360.69444444444446
CU중곡긴고랑점앞,37.558916,127.0930312,80.38888888888889
CU중곡긴고랑점앞,37.55875923,127.0930028,44.77777777777778
새밭교회,37.54909358,127.0926378,322.3796296296296
구의3동주민센터,37.539065,127.092544,291.75
지영슈퍼,37.55177449,127.0923105,189.61111111111111
지영슈퍼,37.55181874,127.0921939,252.52777777777777
구의아크로리버앞,37.53529269,127.0921363,497.1388888888889
구의3동주민센터,37.539049,127.092102,432.2916666666667
동서울호텔앞,37.53453492,127.0920686,242.94444444444446
중곡4동어린이집입구,37.55868455,127.0917044,50.861111111111114
중곡4동어린이집입구,37.55851698,127.0916679,54.361111111111114
구의3동주민센터,37.538005,127.091613,54.97222222222222
아차산역사거리,37.55067193,127.0914351,385.1111111111111
해오름공원입구,37.55633026,127.0913642,205.02777777777777
아차산역사거리,37.550722,127.091307,268.6388888888889
해오름공원입구,37.55630792,127.0911231,216.55555555555554
래미안구의파크스위트사거리,37.54404893,127.0906,164.22222222222223
어린이대공원후문,37.55086668,127.0905076,515.6111111111111
래미안구의파크스위트사거리,37.54413013,127.0904643,226.88888888888889
광진우체국,37.537998,127.090409,94.55555555555556
우리들약국,37.55704379,127.090369,111.36111111111111
우리들약국,37.55690148,127.0902851,193.94444444444446
어린이대공원후문아차산역,37.55120847,127.0901492,571.175925925926
강원설비앞,37.55900294,127.0901359,46.72222222222222
선화예고앞,37.54948475,127.0900588,190.38888888888889
미니스톱구의중앙점앞,37.54155063,127.0900165,110.63888888888889
강원설비앞,37.55884901,127.0899354,40.44444444444444
미니스톱구의중앙점앞,37.54156336,127.0898705,99.83333333333333
구의2동주민센터입구,37.54925157,127.0897847,269.84027777777777
구의홈마트앞,37.54029022,127.089723,84.58333333333333
구의2동주민센터입구,37.54864168,127.0895859,198.14285714285714
구의홈마트앞,37.54031918,127.0895646,99.80555555555556
구의역,37.53823879,127.0892373,327.8611111111111
어린이대공원후문아차산역,37.55273374,127.0891817,615.9375
한창주택,37.53361444,127.0891357,144.58333333333334
한창주택,37.53371538,127.0891188,156.41666666666666
구의역,37.53827585,127.0890926,330.97222222222223
래미안구의파크스위트,37.54496382,127.0890507,329.7361111111111
래미안구의파크스위트,37.544713,127.089012,367.8611111111111
중곡동입구,37.55419672,127.088669,370.99305555555554
긴고랑입구,37.558877,127.0886688,34.55555555555556
